Mod:Item:MetaData, Localized Name
botania:craftpattern:7, Crafting Pattern #8: 3x2
botania:craftpattern:8, Crafting Pattern #9: Donut
botania:ancientwill:0, Will of Ahrim
botania:ancientwill:1, Will of Dharok
botania:ancientwill:2, Will of Guthan
botania:ancientwill:3, Will of Torag
botania:ancientwill:4, Will of Verac
botania:ancientwill:5, Will of Karil
botania:corporeaspark:0, Corporea Spark
botania:corporeaspark:1, Master Corporea Spark
botania:livingwoodbow, item.livingwoodBow.name
botania:crystalbow, item.crystalBow.name
botania:cosmetic:0, Black Bowtie
botania:cosmetic:1, Black Tie
botania:cosmetic:2, Red Glasses
botania:cosmetic:3, Puffy Scarf
botania:cosmetic:4, Engineer Goggles
botania:cosmetic:5, Eyepatch
botania:cosmetic:6, Wicked Eyepatch
botania:cosmetic:7, Red Ribbons
botania:cosmetic:8, Pink Flower Bud
botania:cosmetic:9, Polka-Dotted Bows
botania:cosmetic:10, Blue Butterfly
botania:cosmetic:11, Cat Ears
botania:cosmetic:12, Witch Pin
botania:cosmetic:13, Devil Tail
botania:cosmetic:14, Kamui Eye
botania:cosmetic:15, Googly Eyes
botania:cosmetic:16, Four-Leafed Clover
botania:cosmetic:17, Clock Eye
botania:cosmetic:18, Unicorn Horn
botania:cosmetic:19, Devil Horns
botania:cosmetic:20, Hyper Plus
botania:cosmetic:21, Botanist Emblem
botania:cosmetic:22, Ancient Mask
botania:cosmetic:23, Eerie Mask
botania:cosmetic:24, Alien Antenna
botania:cosmetic:25, Anaglyph Glasses
botania:cosmetic:26, Orange Shades
botania:cosmetic:27, Groucho Glasses
botania:cosmetic:28, Thick Eyebrows
botania:cosmetic:29, Lusitanic Shield
botania:cosmetic:30, Tiny Potato Mask
botania:cosmetic:31, Questgiver Mark
botania:swapring, item.swapRing.name
botania:flowerbag, item.flowerBag.name
botania:phantomink, item.phantomInk.name
botania:poolminecart, item.poolMinecart.name
botania:pinkinator, item.pinkinator.name
botania:infinitefruit, item.infiniteFruit.name
botania:kingkey, item.kingKey.name
botania:flugeleye, item.flugelEye.name
botania:thorring, item.thorRing.name
botania:odinring, item.odinRing.name
botania:lokiring, item.lokiRing.name
botania:dice, item.dice.name
botania:keepivy, item.keepIvy.name
botania:blackholetalisman:0, Black Hole Talisman
botania:recordgaia1, item.recordGaia1.name
botania:recordgaia2, item.recordGaia2.name
botania:temperancestone:0, Stone of Temperance
botania:incensestick, item.incenseStick.name
botania:terraaxe, item.terraAxe.name
botania:waterbowl, item.waterBowl.name
botania:obediencestick, item.obedienceStick.name
botania:cacophonium, item.cacophonium.name
botania:slimebottle:0, Slime in a Bottle
botania:starsword, item.starSword.name
botania:exchangerod, item.exchangeRod.name
botania:magnetringgreater, item.magnetRingGreater.name
botania:thundersword, item.thunderSword.name
botania:manaweavehelm, item.manaweaveHelm.name
botania:manaweavechest, item.manaweaveChest.name
botania:manaweavelegs, item.manaweaveLegs.name
botania:manaweaveboots, item.manaweaveBoots.name
botania:autocraftinghalo, item.autocraftingHalo.name
botania:gaiahead, item.gaiaHead.name
botania:sextant, item.sextant.name
botania:speedupbelt, item.speedUpBelt.name
botania:baublebox, item.baubleBox.name
botania:dodgering, item.dodgeRing.name
botania:invisibilitycloak, item.invisibilityCloak.name
botania:cloudpendant, item.cloudPendant.name
botania:supercloudpendant, item.superCloudPendant.name
botania:thirdeye, item.thirdEye.name
botania:astrolabe, item.astrolabe.name
botania:goddesscharm, item.goddessCharm.name
armorplus:workbench, Workbench
armorplus:high_tech_bench, High-Tech Bench
armorplus:ulti_tech_bench, Ulti-Tech Bench
armorplus:champion_bench, Champion Bench
armorplus:ore_lava_crystal, Ore Lava Crystal
armorplus:compressed_obsidian, Compressed Obsidian
armorplus:steel_block, Block of Steel
armorplus:electrical_block, Electrical Block
armorplus:lava_nether_brick, Lava Nether Brick
armorplus:lava_cactus, Lava Cactus
armorplus:lava_infuser, Lava Infuser
armorplus:lava_infuser_infusing, Lava Infuser Infusing
armorplus:lava_infused_obsidian, Lava Infused Obsidian
armorplus:block_lava_crystal, Block of Lava Crystal
armorplus:block_infused_lava_crystal, Block of Infused Lava Crystal
armorplus:block_compressed_lava_crystal, Compressed Lava Crystal Block
armorplus:block_compressed_infused_lava_crystal, Compressed Infused Lava Crystal Block
armorplus:white_stone_brick, White Stone Brick
armorplus:red_stone_brick, Red Stone Brick
armorplus:black_stone_brick, Black Stone Brick
armorplus:blue_stone_brick, Blue Stone Brick
armorplus:green_stone_brick, Green Stone Brick
armorplus:yellow_stone_brick, Yellow Stone Brick
armorplus:purple_stone_brick, Purple Stone Brick
armorplus:white_stone_brick_tower, White Stone Brick Tower
armorplus:red_stone_brick_tower, Red Stone Brick Tower
armorplus:black_stone_brick_tower, Black Stone Brick Tower
armorplus:blue_stone_brick_tower, Blue Stone Brick Tower
armorplus:green_stone_brick_tower, Green Stone Brick Tower
armorplus:yellow_stone_brick_tower, Yellow Stone Brick Tower
armorplus:purple_stone_brick_tower, Purple Stone Brick Tower
armorplus:white_stone_brick_corner, White Stone Brick Corner
armorplus:red_stone_brick_corner, Red Stone Brick Corner
armorplus:black_stone_brick_corner, Black Stone Brick Corner
armorplus:blue_stone_brick_corner, Blue Stone Brick Corner
armorplus:green_stone_brick_corner, Green Stone Brick Corner
armorplus:yellow_stone_brick_corner, Yellow Stone Brick Corner
armorplus:purple_stone_brick_corner, Purple Stone Brick Corner
armorplus:white_stone_brick_wall, White Stone Brick Wall
armorplus:red_stone_brick_wall, Red Stone Brick Wall
armorplus:black_stone_brick_wall, Black Stone Brick Wall
armorplus:blue_stone_brick_wall, Blue Stone Brick Wall
armorplus:green_stone_brick_wall, Green Stone Brick Wall
armorplus:yellow_stone_brick_wall, Yellow Stone Brick Wall
armorplus:purple_stone_brick_wall, Purple Stone Brick Wall
armorplus:ender_stone, Ender Stone (WIP)
armorplus:ender_stone_bricks, Ender Stone Bricks (WIP)
armorplus:ender_pillar, Ender Pillar (WIP)
armorplus:ender_glowstone, Ender Glowstone (WIP)
armorplus:ender_floor_1, Ender Floor (WIP)
armorplus:ender_floor_2, Ender Floor (WIP)
armorplus:ender_stone_trap, Ender Stone Trap (WIP)
armorplus:trophy, Mob Trophy
armorplus:elder_guardian_trophy, Elder Guardian Trophy
armorplus:wither_boss_trophy, Wither Boss Trophy
armorplus:ender_dragon_trophy, Ender Dragon Trophy
armorplus:skeletal_king_trophy, Skeletal King Trophy
armorplus:guardian_overlord_trophy, Guardian Overlord Trophy
armorplus:demonic_dragon_trophy, Demonic Dragon Trophy
armorplus:the_lord_of_everything_trophy, The Lord Of Everything Trophy
armorplus:book, ArmorPlus Info Book
armorplus:steel_ingot, Steel Ingot
armorplus:electrical_ingot, Electrical Ingot
armorplus:redstone_apple:0, Redstone Apple
armorplus:redstone_apple:1, Redstone Apple
armorplus:lava_crystal:0, Lava Crystal
armorplus:lava_crystal:1, Infused Lava Crystal
armorplus:the_gift_of_the_gods, The Gift Of The Gods
armorplus:dev_tool, Dev Tool
armorplus:the_ultimate_part:0, The Ultimate Helmet Right
armorplus:the_ultimate_part:1, The Ultimate Helmet Middle
armorplus:the_ultimate_part:2, The Ultimate Helmet Left
armorplus:the_ultimate_part:3, The Ultimate Chestplate Right
armorplus:the_ultimate_part:4, The Ultimate Chestplate Middle
armorplus:the_ultimate_part:5, The Ultimate Chestplate Left
armorplus:the_ultimate_part:6, The Ultimate Legging Right
armorplus:the_ultimate_part:7, The Ultimate Legging Middle
armorplus:the_ultimate_part:8, The Ultimate Legging Left
armorplus:the_ultimate_part:9, The Ultimate Boots Right
armorplus:the_ultimate_part:10, The Ultimate Boots Middle
armorplus:the_ultimate_part:11, The Ultimate Boots Left
armorplus:coal_arrow, Coal Arrow
armorplus:lapis_arrow, Lapis Arrow
armorplus:redstone_arrow, Redstone Arrow
armorplus:infused_lava_arrow, Infused Lava Arrow
armorplus:ender_dragon_arrow, Ender Dragon Arrow
armorplus:material:0, Chainmail
armorplus:material:1, Guardian Scale
armorplus:material:2, Wither Bone
armorplus:material:3, Ender Dragon Scale
armorplus:material:4, The Ultimate Material
armorplus:tower_spawn_item, item.armorplus.tower_spawn_item.name
armorplus:twitch, Twitch
armorplus:beam, Beam
armorplus:the_dragon_team, The Dragon Team
armorplus:modded_city, Modded City
armorplus:jon_bams:0, Jon Bams
armorplus:jon_bams:1, Jon Bams
armorplus:btm_moon, item.armorplus.btm_moon.name
armorplus:m1jordan, M1Jordan
armorplus:team_rapture, item.armorplus.team_rapture.name
armorplus:coal_helmet, Coal Helmet
armorplus:coal_chestplate, Coal Chestplate
armorplus:coal_leggings, Coal Leggings
armorplus:coal_boots, Coal Boots
armorplus:emerald_helmet, Emerald Helmet
armorplus:emerald_chestplate, Emerald Chestplate
armorplus:emerald_leggings, Emerald Leggings
armorplus:emerald_boots, Emerald Boots
armorplus:lapis_helmet, Lapis Helmet
armorplus:lapis_chestplate, Lapis Chestplate
armorplus:lapis_leggings, Lapis Leggings
armorplus:lapis_boots, Lapis Boots
armorplus:infused_lava_helmet, Infused Lava Helmet
armorplus:infused_lava_chestplate, Infused Lava Chestplate
armorplus:infused_lava_leggings, Infused Lava Leggings
armorplus:infused_lava_boots, Infused Lava Boots
armorplus:obsidian_helmet, Obsidian Helmet
armorplus:obsidian_chestplate, Obsidian Chestplate
armorplus:obsidian_leggings, Obsidian Leggings
armorplus:obsidian_boots, Obsidian Boots
armorplus:redstone_helmet, Redstone Helmet
armorplus:redstone_chestplate, Redstone Chestplate
armorplus:redstone_leggings, Redstone Leggings
armorplus:redstone_boots, Redstone Boots
armorplus:chicken_helmet, Chicken Helmet
armorplus:chicken_chestplate, Chicken Chestplate
armorplus:chicken_leggings, Chicken Leggings
armorplus:chicken_boots, Chicken Boots
armorplus:slime_helmet, Slime Helmet
armorplus:slime_chestplate, Slime Chestplate
armorplus:slime_leggings, Slime Leggings
armorplus:slime_boots, Slime Boots
armorplus:guardian_helmet, Guardian Helmet
armorplus:guardian_chestplate, Guardian Chestplate
armorplus:guardian_leggings, Guardian Leggings
armorplus:guardian_boots, Guardian Boots
armorplus:super_star_helmet, Super Star Helmet
armorplus:super_star_chestplate, Super Star Chestplate
armorplus:super_star_leggings, Super Star Leggings
armorplus:super_star_boots, Super Star Boots
armorplus:ender_dragon_helmet, Ender Dragon Helmet
armorplus:ender_dragon_chestplate, Ender Dragon Chestplate
armorplus:ender_dragon_leggings, Ender Dragon Leggings
armorplus:ender_dragon_boots, Ender Dragon Boots
armorplus:the_ultimate_helmet, The Ultimate Helmet
armorplus:the_ultimate_chestplate, The Ultimate Chestplate
armorplus:the_ultimate_leggings, The Ultimate Leggings
armorplus:the_ultimate_boots, The Ultimate Boots
armorplus:ardite_helmet, Ardite Helmet
armorplus:ardite_chestplate, Ardite Chestplate
armorplus:ardite_leggings, Ardite Leggings
armorplus:ardite_boots, Ardite Boots
armorplus:cobalt_helmet, Cobalt Helmet
armorplus:cobalt_chestplate, Cobalt Chestplate
armorplus:cobalt_leggings, Cobalt Leggings
armorplus:cobalt_boots, Cobalt Boots
armorplus:manyullyn_helmet, Manyullyn Helmet
armorplus:manyullyn_chestplate, Manyullyn Chestplate
armorplus:manyullyn_leggings, Manyullyn Leggings
armorplus:manyullyn_boots, Manyullyn Boots
armorplus:pig_iron_helmet, Pig Iron Helmet
armorplus:pig_iron_chestplate, Pig Iron Chestplate
armorplus:pig_iron_leggings, Pig Iron Leggings
armorplus:pig_iron_boots, Pig Iron Boots
armorplus:knight_slime_helmet, Knight Slime Helmet
armorplus:knight_slime_chestplate, Knight Slime Chestplate
armorplus:knight_slime_leggings, Knight Slime Leggings
armorplus:knight_slime_boots, Knight Slime Boots
armorplus:coal_horse_armor, item.armorplus.coal_horse_armor.name
armorplus:lapis_horse_armor, item.armorplus.lapis_horse_armor.name
armorplus:redstone_horse_armor, item.armorplus.redstone_horse_armor.name
armorplus:emerald_horse_armor, item.armorplus.emerald_horse_armor.name
armorplus:obsidian_horse_armor, item.armorplus.obsidian_horse_armor.name
armorplus:infused_lava_horse_armor, item.armorplus.infused_lava_horse_armor.name
armorplus:guardian_horse_armor, item.armorplus.guardian_horse_armor.name
armorplus:super_star_horse_armor, item.armorplus.super_star_horse_armor.name
armorplus:ender_dragon_horse_armor, item.armorplus.ender_dragon_horse_armor.name
armorplus:coal_sword, Coal Sword
armorplus:lapis_sword, Lapis Sword
armorplus:redstone_sword, Redstone Sword
armorplus:emerald_sword, Emerald Sword
armorplus:obsidian_sword, Obsidian Sword
armorplus:infused_lava_sword, Infused Lava Sword
armorplus:guardian_sword, Guardian Sword
armorplus:super_star_sword, Super Star Sword
armorplus:ender_dragon_sword, Ender Dragon Sword
armorplus:coal_battle_axe:0, Coal Battle Axe
armorplus:lapis_battle_axe:0, Lapis Battle Axe
armorplus:redstone_battle_axe:0, Redstone Battle Axe
armorplus:emerald_battle_axe:0, Emerald Battle Axe
armorplus:obsidian_battle_axe:0, Obsidian Battle Axe
armorplus:infused_lava_battle_axe:0, Infused Lava Battle Axe
armorplus:guardian_battle_axe:0, Guardian Battle Axe
armorplus:super_star_battle_axe:0, Super Star Battle Axe
armorplus:ender_dragon_battle_axe:0, Ender Dragon Battle Axe
armorplus:coal_bow, Coal Bow
armorplus:lapis_bow, Lapis Bow
armorplus:redstone_bow, Redstone Bow
armorplus:emerald_bow, Emerald Bow
armorplus:obsidian_bow, Obsidian Bow
armorplus:infused_lava_bow, Infused Lava Bow
armorplus:guardian_bow, Guardian Bow
armorplus:super_star_bow, Super Star Bow
armorplus:ender_dragon_bow, Ender Dragon Bow
bibliocraft:bookcase:0, Oak Bookcase
bibliocraft:bookcase:1, Spruce Bookcase
bibliocraft:bookcase:2, Birch Bookcase
bibliocraft:bookcase:3, Jungle Bookcase
bibliocraft:bookcase:4, Acacia Bookcase
bibliocraft:bookcase:5, Dark Oak Bookcase
bibliocraft:bookcase:6, Framed Bookcase
bibliocraft:bookcasecreative:0, Oak Creative Bookcase
bibliocraft:bookcasecreative:1, Spruce Creative Bookcase
bibliocraft:bookcasecreative:2, Birch Creative Bookcase
bibliocraft:bookcasecreative:3, Jungle Creative Bookcase
bibliocraft:bookcasecreative:4, Acacia Creative Bookcase
bibliocraft:bookcasecreative:5, Dark Oak Creative Bookcase
bibliocraft:bookcasecreative:6, Framed Creative Bookcase
bibliocraft:shelf:0, Oak Shelf
bibliocraft:shelf:1, Spruce Shelf
bibliocraft:shelf:2, Birch Shelf
bibliocraft:shelf:3, Jungle Shelf
bibliocraft:shelf:4, Acacia Shelf
bibliocraft:shelf:5, Dark Oak Shelf
bibliocraft:shelf:6, Framed Shelf
bibliocraft:markerpole, tile.BiblioCraft:MarkerPole.name
bibliocraft:clipboard, tile.BiblioCraft:Clipboard.name
bibliocraft:lanterngold:0, Fancy Lantern
bibliocraft:lanterngold:1, Fancy Lantern
bibliocraft:lanterngold:2, Fancy Lantern
bibliocraft:lanterngold:3, Fancy Lantern
bibliocraft:lanterngold:4, Fancy Lantern
bibliocraft:lanterngold:5, Fancy Lantern
bibliocraft:lanterngold:6, Fancy Lantern
bibliocraft:lanterngold:7, Fancy Lantern
bibliocraft:lanterngold:8, Fancy Lantern
bibliocraft:lanterngold:9, Fancy Lantern
bibliocraft:lanterngold:10, Fancy Lantern
bibliocraft:lanterngold:11, Fancy Lantern
bibliocraft:lanterngold:12, Fancy Lantern
bibliocraft:lanterngold:13, Fancy Lantern
bibliocraft:lanterngold:14, Fancy Lantern
bibliocraft:lanterngold:15, Fancy Lantern
bibliocraft:lanterniron:0, Fancy Lantern
bibliocraft:lanterniron:1, Fancy Lantern
bibliocraft:lanterniron:2, Fancy Lantern
bibliocraft:lanterniron:3, Fancy Lantern
bibliocraft:lanterniron:4, Fancy Lantern
bibliocraft:lanterniron:5, Fancy Lantern
bibliocraft:lanterniron:6, Fancy Lantern
bibliocraft:lanterniron:7, Fancy Lantern
bibliocraft:lanterniron:8, Fancy Lantern
bibliocraft:lanterniron:9, Fancy Lantern
bibliocraft:lanterniron:10, Fancy Lantern
bibliocraft:lanterniron:11, Fancy Lantern
bibliocraft:lanterniron:12, Fancy Lantern
bibliocraft:lanterniron:13, Fancy Lantern
bibliocraft:lanterniron:14, Fancy Lantern
bibliocraft:lanterniron:15, Fancy Lantern
bibliocraft:lampgold:0, Fancy Lamp
bibliocraft:lampgold:1, Fancy Lamp
bibliocraft:lampgold:2, Fancy Lamp
bibliocraft:lampgold:3, Fancy Lamp
bibliocraft:lampgold:4, Fancy Lamp
bibliocraft:lampgold:5, Fancy Lamp
bibliocraft:lampgold:6, Fancy Lamp
bibliocraft:lampgold:7, Fancy Lamp
bibliocraft:lampgold:8, Fancy Lamp
bibliocraft:lampgold:9, Fancy Lamp
bibliocraft:lampgold:10, Fancy Lamp
bibliocraft:lampgold:11, Fancy Lamp
bibliocraft:lampgold:12, Fancy Lamp
bibliocraft:lampgold:13, Fancy Lamp
bibliocraft:lampgold:14, Fancy Lamp
bibliocraft:lampgold:15, Fancy Lamp
bibliocraft:lampiron:0, Fancy Lamp
bibliocraft:lampiron:1, Fancy Lamp
bibliocraft:lampiron:2, Fancy Lamp
bibliocraft:lampiron:3, Fancy Lamp
bibliocraft:lampiron:4, Fancy Lamp
bibliocraft:lampiron:5, Fancy Lamp
bibliocraft:lampiron:6, Fancy Lamp
bibliocraft:lampiron:7, Fancy Lamp
bibliocraft:lampiron:8, Fancy Lamp
bibliocraft:lampiron:9, Fancy Lamp
bibliocraft:lampiron:10, Fancy Lamp
bibliocraft:lampiron:11, Fancy Lamp
bibliocraft:lampiron:12, Fancy Lamp
bibliocraft:lampiron:13, Fancy Lamp
bibliocraft:lampiron:14, Fancy Lamp
bibliocraft:lampiron:15, Fancy Lamp
bibliocraft:furniturepaneler:0, Oak Furniture Paneler
bibliocraft:furniturepaneler:1, Spruce Furniture Paneler
bibliocraft:furniturepaneler:2, Birch Furniture Paneler
bibliocraft:furniturepaneler:3, Jungle Furniture Paneler
bibliocraft:furniturepaneler:4, Acacia Furniture Paneler
bibliocraft:furniturepaneler:5, Dark Oak Furniture Paneler
bibliocraft:furniturepaneler:6, Framed Furniture Paneler
bibliocraft:framedchest:0, Oak Framed Chest
bibliocraft:framedchest:1, Spruce Framed Chest
bibliocraft:framedchest:2, Birch Framed Chest
bibliocraft:framedchest:3, Jungle Framed Chest
bibliocraft:framedchest:4, Acacia Framed Chest
bibliocraft:framedchest:5, Dark Oak Framed Chest
bibliocraft:framedchest:6, Framed Framed Chest
bibliocraft:fancysign:0, Oak Fancy Sign
bibliocraft:fancysign:1, Spruce Fancy Sign
bibliocraft:fancysign:2, Birch Fancy Sign
bibliocraft:fancysign:3, Jungle Fancy Sign
bibliocraft:fancysign:4, Acacia Fancy Sign
bibliocraft:fancysign:5, Dark Oak Fancy Sign
bibliocraft:fancysign:6, Framed Fancy Sign
bibliocraft:fancyworkbench:0, Oak Fancy Workbench
bibliocraft:fancyworkbench:1, Spruce Fancy Workbench
bibliocraft:fancyworkbench:2, Birch Fancy Workbench
bibliocraft:fancyworkbench:3, Jungle Fancy Workbench
bibliocraft:fancyworkbench:4, Acacia Fancy Workbench
bibliocraft:fancyworkbench:5, Dark Oak Workbench
bibliocraft:fancyworkbench:6, Framed Fancy Workbench
bibliocraft:potionshelf:0, Oak Potion Shelf
bibliocraft:potionshelf:1, Spruce Potion Shelf
bibliocraft:potionshelf:2, Birch Potion Shelf
bibliocraft:potionshelf:3, Jungle Potion Shelf
bibliocraft:potionshelf:4, Acacia Potion Shelf
bibliocraft:potionshelf:5, Dark Oak Potion Shelf
bibliocraft:potionshelf:6, Framed Potion Shelf
bibliocraft:toolrack:0, Oak Tool Rack
bibliocraft:toolrack:1, Spruce Tool Rack
bibliocraft:toolrack:2, Birch Tool Rack
bibliocraft:toolrack:3, Jungle Tool Rack
bibliocraft:toolrack:4, Acacia Tool Rack
bibliocraft:toolrack:5, Dark Oak Tool Rack
bibliocraft:toolrack:6, Framed Tool Rack
bibliocraft:label:0, Oak Wood Label
bibliocraft:label:1, Spruce Wood Label
bibliocraft:label:2, Birch Wood Label
bibliocraft:label:3, Jungle Wood Label
bibliocraft:label:4, Acacia Label
bibliocraft:label:5, Dark Oak Label
bibliocraft:label:6, Framed Label
bibliocraft:desk:0, Oak Desk
bibliocraft:desk:1, Spruce Desk
bibliocraft:desk:2, Birch Desk
bibliocraft:desk:3, Jungle Desk
bibliocraft:desk:4, Acacia Desk
bibliocraft:desk:5, Dark Oak Desk
bibliocraft:desk:6, Framed Desk
bibliocraft:table:0, Oak Table
bibliocraft:table:1, Spruce Table
bibliocraft:table:2, Birch Table
bibliocraft:table:3, Jungle Table
bibliocraft:table:4, Acacia Table
bibliocraft:table:5, Dark Oak Table
bibliocraft:table:6, Framed Table
bibliocraft:seat:0, Oak Seat
bibliocraft:seat:1, Spruce Seat
bibliocraft:seat:2, Birch Seat
bibliocraft:seat:3, Jungle Seat
bibliocraft:seat:4, Acacia Seat
bibliocraft:seat:5, Dark Oak Seat
bibliocraft:seat:6, Framed Seat
bibliocraft:clock:0, Oak Clock
bibliocraft:clock:1, Spruce Clock
bibliocraft:clock:2, Birch Clock
bibliocraft:clock:3, Jungle Clock
bibliocraft:clock:4, Acacia Clock
bibliocraft:clock:5, Dark Oak Clock
bibliocraft:clock:6, Framed Clock
bibliocraft:case:0, Oak Case
bibliocraft:case:1, Spruce Case
bibliocraft:case:2, Birch Case
bibliocraft:case:3, Jungle Case
bibliocraft:case:4, Acacia Case
bibliocraft:case:5, Dark Oak Case
bibliocraft:case:6, Framed Case
bibliocraft:mapframe:0, Oak Map Frame
bibliocraft:mapframe:1, Spruce Map Frame
bibliocraft:mapframe:2, Birch Map Frame
bibliocraft:mapframe:3, Jungle Map Frame
bibliocraft:mapframe:4, Acacia Map Frame
bibliocraft:mapframe:5, Dark Oak Map Frame
bibliocraft:mapframe:6, Framed Map Frame
bibliocraft:paintingframeflat:0, Oak Painting Frame
bibliocraft:paintingframeflat:1, Spruce Painting Frame
bibliocraft:paintingframeflat:2, Birch Painting Frame
bibliocraft:paintingframeflat:3, Jungle Painting Frame
bibliocraft:paintingframeflat:4, Acacia Painting Frame
bibliocraft:paintingframeflat:5, Dark Oak Painting Frame
bibliocraft:paintingframeflat:6, Framed Painting Frame
bibliocraft:paintingframesimple:0, Oak Painting Frame
bibliocraft:paintingframesimple:1, Spruce Painting Frame
bibliocraft:paintingframesimple:2, Birch Painting Frame
bibliocraft:paintingframesimple:3, Jungle Painting Frame
bibliocraft:paintingframesimple:4, Acacia Painting Frame
bibliocraft:paintingframesimple:5, Dark Oak Painting Frame
bibliocraft:paintingframesimple:6, Framed Painting Frame
bibliocraft:paintingframemiddle:0, Oak Painting Frame
bibliocraft:paintingframemiddle:1, Spruce Painting Frame
bibliocraft:paintingframemiddle:2, Birch Painting Frame
bibliocraft:paintingframemiddle:3, Jungle Painting Frame
bibliocraft:paintingframemiddle:4, Acacia Painting Frame
bibliocraft:paintingframemiddle:5, Dark Oak Painting Frame
bibliocraft:paintingframemiddle:6, Framed Painting Frame
bibliocraft:paintingframefancy:0, Oak Painting Frame
bibliocraft:paintingframefancy:1, Spruce Painting Frame
bibliocraft:paintingframefancy:2, Birch Painting Frame
bibliocraft:paintingframefancy:3, Jungle Painting Frame
bibliocraft:paintingframefancy:4, Acacia Painting Frame
bibliocraft:paintingframefancy:5, Dark Oak Painting Frame
bibliocraft:paintingframefancy:6, Framed Painting Frame
bibliocraft:paintingframeborderless:0, Oak Painting Frame
bibliocraft:paintingframeborderless:1, Spruce Painting Frame
bibliocraft:paintingframeborderless:2, Birch Painting Frame
bibliocraft:paintingframeborderless:3, Jungle Painting Frame
bibliocraft:paintingframeborderless:4, Acacia Painting Frame
bibliocraft:paintingframeborderless:5, Dark Oak Painting Frame
bibliocraft:paintingframeborderless:6, Framed Painting Frame
bibliocraft:paintingpress, Painting Press
bibliocraft:typewriter:0, White Typewriter
bibliocraft:typewriter:1, Light Gray Typewriter
bibliocraft:typewriter:2, Gray Typewriter
bibliocraft:typewriter:3, Black Typewriter
bibliocraft:typewriter:4, Red Typewriter
bibliocraft:typewriter:5, Orange Typewriter
bibliocraft:typewriter:6, Yellow Typewriter
bibliocraft:typewriter:7, Lime Typewriter
bibliocraft:typewriter:8, Green Typewriter
bibliocraft:typewriter:9, Cyan Typewriter
bibliocraft:typewriter:10, Light Blue Typewriter
bibliocraft:typewriter:11, Blue Typewriter
bibliocraft:typewriter:12, Purple Typewriter
bibliocraft:typewriter:13, Magenta Typewriter
bibliocraft:typewriter:14, Pink Typewriter
bibliocraft:typewriter:15, Brown Typewriter
bibliocraft:swordpedestal:0, Sword Pedestal
bibliocraft:swordpedestal:1, Sword Pedestal
bibliocraft:swordpedestal:2, Sword Pedestal
bibliocraft:swordpedestal:3, Sword Pedestal
bibliocraft:swordpedestal:4, Sword Pedestal
bibliocraft:swordpedestal:5, Sword Pedestal
bibliocraft:swordpedestal:6, Sword Pedestal
bibliocraft:swordpedestal:7, Sword Pedestal
bibliocraft:swordpedestal:8, Sword Pedestal
bibliocraft:swordpedestal:9, Sword Pedestal
bibliocraft:swordpedestal:10, Sword Pedestal
bibliocraft:swordpedestal:11, Sword Pedestal
bibliocraft:swordpedestal:12, Sword Pedestal
bibliocraft:swordpedestal:13, Sword Pedestal
bibliocraft:swordpedestal:14, Sword Pedestal
bibliocraft:swordpedestal:15, Sword Pedestal
bibliocraft:armorstand:0, Oak Armor Stand
bibliocraft:armorstand:1, Spruce Armor Stand
bibliocraft:armorstand:2, Birch Armor Stand
bibliocraft:armorstand:3, Jungle Armor Stand
bibliocraft:armorstand:4, Acacia Armor Stand
bibliocraft:armorstand:5, Dark Oak Armor Stand
bibliocraft:armorstand:6, Framed Armor Stand
bibliocraft:bell, Desk Bell
bibliocraft:typesettingtable, Typesetting Table
bibliocraft:printingpress, Printing Press
bibliocraft:cookiejar, Cookie Jar
bibliocraft:dinnerplate, Dinner Plate
bibliocraft:discrack, Disc Rack
bibliocraft:compass, Compass
bibliocraft:maptool, Drafting Compass
bibliocraft:seatback1:0, Oak Seat Back
bibliocraft:seatback1:1, Spruce Seat Back
bibliocraft:seatback1:2, Birch Seat Back
bibliocraft:seatback1:3, Jungle Seat Back
bibliocraft:seatback1:4, Acacia Seat Back
bibliocraft:seatback1:5, Dark Oak Seat Back
bibliocraft:seatback1:6, Framed Seat Back
bibliocraft:seatback2:0, Oak Seat Back
bibliocraft:seatback2:1, Spruce Seat Back
bibliocraft:seatback2:2, Birch Seat Back
bibliocraft:seatback2:3, Jungle Seat Back
bibliocraft:seatback2:4, Acacia Seat Back
bibliocraft:seatback2:5, Dark Oak Seat Back
bibliocraft:seatback2:6, Framed Seat Back
bibliocraft:seatback3:0, Oak Seat Back
bibliocraft:seatback3:1, Spruce Seat Back
bibliocraft:seatback3:2, Birch Seat Back
bibliocraft:seatback3:3, Jungle Seat Back
bibliocraft:seatback3:4, Acacia Seat Back
bibliocraft:seatback3:5, Dark Oak Seat Back
bibliocraft:seatback3:6, Framed Seat Back
bibliocraft:seatback4:0, Oak Seat Back
bibliocraft:seatback4:1, Spruce Seat Back
bibliocraft:seatback4:2, Birch Seat Back
bibliocraft:seatback4:3, Jungle Seat Back
bibliocraft:seatback4:4, Acacia Seat Back
bibliocraft:seatback4:5, Dark Oak Seat Back
bibliocraft:seatback4:6, Framed Seat Back
bibliocraft:seatback5:0, Oak Seat Back
bibliocraft:seatback5:1, Spruce Seat Back
bibliocraft:seatback5:2, Birch Seat Back
bibliocraft:seatback5:3, Jungle Seat Back
bibliocraft:seatback5:4, Acacia Seat Back
bibliocraft:seatback5:5, Dark Oak Seat Back
bibliocraft:seatback5:6, Framed Seat Back
